timestamp,accx,accy,accz
11:18:21.538,-0.675,0.52,0.523
11:18:21.733,-0.679,0.507,0.51
11:18:21.928,-0.666,0.508,0.524
11:18:22.123,-0.668,0.515,0.513
11:18:22.317,-0.67,0.511,0.521
11:18:22.513,-0.687,0.511,0.528
11:18:22.707,-0.663,0.507,0.513
11:18:22.904,-0.665,0.516,0.526
11:18:23.148,-0.67,0.506,0.522
11:18:23.343,-0.667,0.508,0.525
11:18:23.539,-0.67,0.514,0.5
11:18:23.733,-0.664,0.496,0.545
11:18:23.928,-0.668,0.507,0.533
11:18:24.124,-0.665,0.512,0.518
11:18:24.318,-0.646,0.484,0.581
11:18:24.514,-0.62,0.495,0.575
11:18:24.708,-0.645,0.492,0.565
11:18:24.903,-0.644,0.499,0.547
11:18:25.099,-0.654,0.499,0.555
11:18:25.294,-0.668,0.503,0.527
11:18:25.488,-0.665,0.512,0.535
11:18:25.684,-0.665,0.5,0.532
11:18:25.878,-0.672,0.511,0.546
11:18:26.072,-0.671,0.5,0.537
11:18:26.267,-0.669,0.51,0.52
11:18:26.462,-0.663,0.504,0.518
11:18:26.657,-0.669,0.5,0.531
11:18:26.854,-0.681,0.514,0.54
11:18:27.047,-0.668,0.508,0.528
11:18:27.242,-0.647,0.499,0.541
11:18:27.485,-0.67,0.512,0.52
11:18:27.680,-0.668,0.507,0.529
11:18:27.875,-0.67,0.512,0.532
11:18:28.071,-0.67,0.515,0.529
11:18:28.265,-0.672,0.512,0.531
11:18:28.460,-0.674,0.508,0.538
11:18:28.655,-0.679,0.509,0.516
11:18:28.850,-0.664,0.498,0.515
11:18:29.045,-0.676,0.501,0.537
11:18:29.240,-0.671,0.505,0.525
11:18:29.435,-0.684,0.523,0.519
11:18:29.630,-0.672,0.513,0.517
11:18:29.825,-0.671,0.51,0.525
11:18:30.021,-0.665,0.507,0.514
11:18:30.215,-0.677,0.506,0.523
11:18:30.459,-0.67,0.514,0.532
11:18:30.606,-0.657,0.509,0.534
11:18:30.850,-0.667,0.509,0.514
11:18:30.997,-0.665,0.505,0.527
11:18:31.191,-0.677,0.496,0.534
11:18:31.385,-0.674,0.521,0.538
11:18:31.580,-0.671,0.51,0.514
11:18:31.824,-0.672,0.5,0.523
11:18:32.020,-0.664,0.506,0.52
11:18:32.215,-0.673,0.497,0.521
11:18:32.410,-0.667,0.513,0.527
11:18:32.617,-0.687,0.523,0.514
11:18:32.799,-0.68,0.514,0.514
11:18:32.995,-0.659,0.506,0.53
11:18:33.239,-0.669,0.507,0.533
11:18:33.385,-0.666,0.517,0.547
11:18:33.628,-0.668,0.508,0.531
11:18:33.775,-0.678,0.498,0.536
11:18:33.969,-0.663,0.517,0.536
11:18:34.164,-0.661,0.508,0.525
11:18:34.360,-0.671,0.524,0.53
11:18:34.800,-0.663,0.513,0.53
11:18:34.800,-0.674,0.513,0.523
11:18:34.946,-0.671,0.509,0.519
11:18:35.140,-0.657,0.498,0.562
11:18:35.384,-0.677,0.5,0.527
11:18:35.530,-0.672,0.504,0.521
11:18:35.725,-0.654,0.505,0.517
11:18:35.920,-0.653,0.486,0.545
11:18:36.164,-0.663,0.502,0.547
11:18:36.358,-0.654,0.508,0.524
11:18:36.553,-0.656,0.506,0.534
11:18:36.749,-0.669,0.487,0.546
11:18:36.943,-0.668,0.511,0.549
11:18:37.140,-0.671,0.504,0.522
11:18:37.333,-0.685,0.519,0.506
11:18:37.529,-0.671,0.518,0.523
11:18:37.724,-0.69,0.494,0.517
11:18:37.917,-0.67,0.513,0.541
11:18:38.112,-0.685,0.503,0.515
11:18:38.307,-0.659,0.492,0.532
11:18:38.503,-0.657,0.498,0.537
11:18:38.698,-0.675,0.507,0.53
11:18:38.894,-0.677,0.514,0.53
11:18:39.088,-0.675,0.515,0.545
11:18:39.282,-0.684,0.507,0.531
11:18:39.479,-0.67,0.514,0.511
11:18:39.673,-0.671,0.504,0.515
11:18:39.869,-0.677,0.517,0.51
11:18:40.064,-0.683,0.5,0.545
